Health_Center_ID,Disease_Name,month,hist_disease_p_avg
1,Cold/Cough,1,7.43010752688172
1,Cold/Cough,2,2.217391304347826
1,Cold/Cough,3,1.7868852459016393
1,Cold/Cough,4,1.7183098591549295
1,Cold/Cough,5,1.8133333333333332
1,Cold/Cough,6,2.4305555555555554
1,Cold/Cough,7,2.1333333333333333
1,Cold/Cough,8,2.3376623376623376
1,Cold/Cough,9,2.1267605633802815
1,Cold/Cough,10,2.2125
1,Cold/Cough,11,8.255555555555556
1,Cold/Cough,12,7.956989247311828
1,Diabetes,1,1.4
1,Diabetes,2,1.7307692307692308
1,Diabetes,3,1.3673469387755102
1,Diabetes,4,1.3333333333333333
1,Diabetes,5,1.4186046511627908
1,Diabetes,6,1.462962962962963
1,Diabetes,7,1.5357142857142858
1,Diabetes,8,1.6842105263157894
1,Diabetes,9,1.5471698113207548
1,Diabetes,10,1.6607142857142858
1,Diabetes,11,1.1666666666666667
1,Diabetes,12,1.2307692307692308
1,Eye Problems,1,1.4259259259259258
1,Eye Problems,2,2.3513513513513513
1,Eye Problems,3,1.7313432835820894
1,Eye Problems,4,1.8059701492537314
1,Eye Problems,5,1.6764705882352942
1,Eye Problems,6,2.3783783783783785
1,Eye Problems,7,2.3417721518987342
1,Eye Problems,8,2.231707317073171
1,Eye Problems,9,1.9473684210526316
1,Eye Problems,10,2.1029411764705883
1,Eye Problems,11,1.5294117647058822
1,Eye Problems,12,1.5818181818181818
1,Fever,1,1.5964912280701755
1,Fever,2,2.364864864864865
1,Fever,3,1.8636363636363635
1,Fever,4,1.8833333333333333
1,Fever,5,1.8656716417910448
1,Fever,6,10.488888888888889
1,Fever,7,14.923913043478262
1,Fever,8,12.835164835164836
1,Fever,9,10.55056179775281
1,Fever,10,2.219178082191781
1,Fever,11,1.5714285714285714
1,Fever,12,1.4166666666666667
1,Hypertension,1,1.3170731707317074
1,Hypertension,2,1.7307692307692308
1,Hypertension,3,1.372093023255814
1,Hypertension,4,1.2666666666666666
1,Hypertension,5,1.441860465116279
1,Hypertension,6,1.4901960784313726
1,Hypertension,7,1.7924528301886793
1,Hypertension,8,1.4915254237288136
1,Hypertension,9,1.45
1,Hypertension,10,1.5344827586206897
1,Hypertension,11,1.2758620689655173
1,Hypertension,12,1.2647058823529411
1,Joint Pain,1,1.5666666666666667
1,Joint Pain,2,2.1527777777777777
1,Joint Pain,3,1.9305555555555556
1,Joint Pain,4,1.847457627118644
1,Joint Pain,5,1.828125
1,Joint Pain,6,2.0
1,Joint Pain,7,2.4
1,Joint Pain,8,2.2465753424657535
1,Joint Pain,9,2.1333333333333333
1,Joint Pain,10,2.0365853658536586
1,Joint Pain,11,1.7037037037037037
